"Prenom.Nom","Nombre.de.Produits.Achetes","Montant.Depense..Franc.CFA.","Date.du.Dernier.Achat","Loyaute"
"Astou Gueye",8.02884390851644,31046.8788439085,"2023-7-20","Haute"
"Astou Gueye",7.56787020652867,31046.4178702065,"2023-7-20","Haute"
"Astou Gueye",9.6898725186456,31048.5398725186,"2023-7-20","Haute"
"Ndeye Sall",12.314293154307,38856.4042931543,"2023-8-14","Haute"
"Ndeye Sall",12.7206664723628,38856.8106664724,"2023-8-14","Haute"
"Ndeye Sall",12.2172697247167,38856.3072697247,"2023-8-14","Haute"
"Mariama Diop",10.9201457791378,42802.5601457791,"2023-7-26","Haute"
"Mariama Diop",12.2096526042095,42803.8496526042,"2023-7-26","Haute"
"Mariama Diop",10.6970804348364,42802.3370804348,"2023-7-26","Haute"
"Adja Sall",12.2210027602678,49190.0810027603,"2023-5-13","Haute"
"Adja Sall",12.6251999068716,49190.4851999069,"2023-5-13","Haute"
"Adja Sall",12.6806061911706,49190.5406061912,"2023-5-13","Haute"
"Rama Thiam",4.08454376805081,40583.274543768,"2023-12-22","Haute"
"Rama Thiam",3.23152639706028,40582.4215263971,"2023-12-22","Haute"
"Rama Thiam",3.37408908692835,40582.5640890869,"2023-12-22","Haute"
"Ndeye Kane",1.09912914476206,45222.8291291448,"2023-11-28","Haute"
"Ndeye Kane",2.66372866967524,45224.3937286697,"2023-11-28","Haute"
"Ndeye Kane",2.30027911812024,45224.0302791181,"2023-11-28","Haute"
"Fatou Sall",12.0748568238623,30095.4948568239,"2023-9-9","Haute"
"Fatou Sall",12.2063726953507,30095.6263726953,"2023-9-9","Haute"
"Fatou Sall",11.5110771647057,30094.9310771647,"2023-9-9","Haute"
"Mariama Gueye",4.37204834217665,26783.2620483422,"2023-2-14","Basse"
"Mariama Gueye",4.9530832735717,26783.8430832736,"2023-2-14","Basse"
"Mariama Gueye",5.1626181153219,26784.0526181153,"2023-2-14","Basse"
"Awa Fall",13.2923059149732,24925.002305915,"2023-1-9","Basse"
"Awa Fall",11.53644349848,24923.2464434985,"2023-1-9","Basse"
"Awa Fall",12.3054632274817,24924.0154632275,"2023-1-9","Basse"
"Rama Gueye",11.9160112867597,36624.2960112868,"2023-11-14","Haute"
"Rama Gueye",12.410363449162,36624.7903634492,"2023-11-14","Haute"
"Rama Gueye",12.1836782405291,36624.5636782405,"2023-11-14","Haute"
"Fatou Mbengue",9.77874161834378,19952.8587416183,"2023-11-8","Basse"
"Fatou Mbengue",8.03768284739738,19951.1176828474,"2023-11-8","Basse"
"Fatou Mbengue",9.1762201244006,19952.2562201244,"2023-11-8","Basse"
"Adja Mbengue",16.4414641896732,48564.6814641897,"2023-10-8","Haute"
"Adja Mbengue",16.0543820600744,48564.2943820601,"2023-10-8","Haute"
"Adja Mbengue",16.3348113605213,48564.5748113605,"2023-10-8","Haute"
"Mariama Cisse",18.2283927821364,14418.0783927821,"2023-9-4","Basse"
"Mariama Cisse",17.2760234782659,14417.1260234783,"2023-9-4","Basse"
"Mariama Cisse",15.9510244955269,14415.8010244955,"2023-9-4","Basse"
"Astou Diop",17.4520301916038,22522.4920301916,"2023-2-14","Basse"
"Astou Diop",17.526855669189,22522.5668556692,"2023-2-14","Basse"
"Astou Diop",16.7697377645157,22521.8097377645,"2023-2-14","Basse"
"Awa Kane",4.39742665316465,36408.4674266532,"2023-10-9","Haute"
"Awa Kane",4.76365303138536,36408.8336530314,"2023-10-9","Haute"
"Awa Kane",3.48560135419061,36407.5556013542,"2023-10-9","Haute"
"Astou Sall",6.73426105610281,49733.8642610561,"2023-12-1","Haute"
"Astou Sall",7.15161137071442,49734.2816113707,"2023-12-1","Haute"
"Astou Sall",8.37660981301448,49735.506609813,"2023-12-1","Haute"
"Fatou Mbengue",16.8196056857394,28215.1696056857,"2023-12-7","Basse"
"Fatou Mbengue",15.4323248675225,28213.7823248675,"2023-12-7","Basse"
"Fatou Mbengue",16.7392741072914,28215.0892741073,"2023-12-7","Basse"
"Maimouna Gueye",4.96181035172357,30014.4318103517,"2023-1-7","Haute"
"Maimouna Gueye",4.85389546431011,30014.3238954643,"2023-1-7","Haute"
"Maimouna Gueye",4.41879670207218,30013.8887967021,"2023-1-7","Haute"
"Awa Thiam",13.3399565130141,47783.409956513,"2023-10-2","Haute"
